"element","isotope","mass","abundance","ratioC","Mass_Dif","unsaturation"
"[194]Pt","194Pt",193.9626803,0.974432489950343,0,-1.00211080000003,0
"Pt","195Pt",194.9647911,1,0,0,0
"[196]Pt","196Pt",195.9649515,0.746098368408607,0,1.0001604,0
"[198]Pt","198Pt",197.967893,0.21172262946323,0,3.00310189999999,0
"Au","197Au",196.9665687,1,0,0,0
"[196]Hg","196Hg",195.965833,0.00502344273275285,0,-6.00480999999999,0
"[198]Hg","198Hg",197.966769,0.333891493636973,0,-4.003874,0
"[199]Hg","199Hg",198.9682799,0.564969859343603,0,-3.0023631,0
"[200]Hg","200Hg",199.968326,0.773610180843939,0,-2.00231700000001,0
"[201]Hg","201Hg",200.9703023,0.441393168117883,0,-1.00034070000001,0
"Hg","202Hg",201.970643,1,0,0,0
"[204]Hg","204Hg",203.9734939,0.23007367716008,0,2.0028509,0
"[203]Tl","203Tl",202.9723442,0.418842224744608,0,-2.00208329999998,0
"Tl","205Tl",204.9744275,1,0,0,0
"[204]Pb","204Pb",203.9730436,0.0267175572519084,0,-4.00360849999998,0
"[206]Pb","206Pb",205.9744653,0.459923664122137,0,-2.0021868,0
"[207]Pb","207Pb",206.9758969,0.42175572519084,0,-1.00075519999999,0
"Pb","208Pb",207.9766521,1,0,0,0
"Bi","209Bi",208.9803987,1,0,0,0
"Th","232Th",232.0380553,1,0,0,0
"Pa","231Pa",231.035884,1,0,0,0
"[234]U","234U",234.0409521,5.43947974398182e-05,0,-4.0098361,0
"[235]U","235U",235.0439299,0.00725666890289723,0,-3.0068583,0
"U","238U",238.0507882,1,0,0,0
